TPC_id,OGT,ogt_noise_C,OGT_sim_C
1.0,28.0,0.6430554,28.643055
100.0,57.21926667,-3.2624593,53.956806
101.0,45.05773333,4.1280003,49.18573
102.0,30.04726667,2.009547,32.056812
104.0,57.595299999999995,-0.76657516,56.828724
105.0,65.0225,-4.2830443,60.739456
106.0,59.869299999999996,-1.9640993,57.9052
107.0,79.26396667,4.4288154,83.69279
108.0,84.93593333,2.2580657,87.194
109.0,85.30403333,-2.2239497,83.08008
110.0,89.65373333,1.4599352,91.11367
111.0,90.9918,-1.4978746,89.49393
112.0,71.57976667,-3.5370061,68.04276
114.0,55.32526667,-3.550177,51.77509
115.0,80.07793333,3.7071486,83.78508
116.0,84.78276667,-2.3083155,82.47445
117.0,84.84173333,0.05251039,84.89425
119.0,74.85416667,1.1934879,76.04765
121.0,38.50953333,0.5083804,39.017914
122.0,81.33133333,-4.4057126,76.92562
123.0,30.005333330000003,-4.503399,25.501934
124.0,87.52286667,3.5473857,91.07025
126.0,79.86029999999998,-3.3887973,76.471504
127.0,34.83513333,4.055982,38.891113
128.0,49.89403333,2.8623347,52.756367
129.0,75.0062,-4.6093693,70.396835
130.0,35.5928,2.5779636,38.170765
132.0,64.68640407,-2.5439897,62.14241
133.0,80.1944,-3.4193382,76.775055
134.0,69.54806667,1.7439265,71.29199
135.0,39.99996667,2.125678,42.125645
136.0,64.18803333,-1.772577,62.41546
137.0,48.87686667,-1.2207155,47.65615
138.0,60.0875,0.44456607,60.532066
139.0,55.44036667,-0.5125944,54.92777
14.0,37.66,1.5112585,39.171257
140.0,25.33633333,2.5261624,27.862497
141.0,25.26066667,-0.23521446,25.025452
142.0,23.935999999999996,2.747287,26.683289
143.0,24.05466667,-1.6801432,22.374523
145.0,27.182,1.6932623,28.875261
146.0,26.41766667,-0.4648429,25.952824
147.0,26.093333329999997,0.7679215,26.861256
148.0,26.142,-1.167666,24.974335
149.0,25.666,4.224481,29.890482
150.0,24.63433333,2.6972537,27.331587
151.0,22.200333329999996,4.0592456,26.259579
152.0,67.81196667,-1.8137242,65.998245
153.0,84.93033333000001,-1.2150215,83.71532
154.0,35.43753333,2.4141693,37.851704
155.0,65.28327515,4.467089,69.75036
157.0,59.589933329999994,-3.1254296,56.4645
158.0,44.7595,0.30546388,45.064964
160.0,42.02856667,-1.7273922,40.301178
161.0,39.21877449,4.228495,43.44727
163.0,40.41605517,1.3107762,41.72683
165.0,35.17952302,-4.5538287,30.625694
166.0,16.06689765,-4.177979,11.88892
167.0,22.89910838,2.5466976,25.445807
168.0,11.6140615,0.99360293,12.607664
169.0,35.57573333,4.369788,39.945522
171.0,65.31333333,3.465194,68.77853
172.0,30.327114269999996,-3.796223,26.530891
173.0,17.6786287,-2.2994676,15.379162
174.0,22.07015872,0.06838478,22.138542
175.0,24.049499999999995,-3.104036,20.945463
176.0,14.47666667,2.8115942,17.288261
177.0,15.900000000000002,-1.9205576,13.979442
179.0,65.76366667,-3.8333392,61.930325
180.0,82.4842,-0.89700335,81.5872
181.0,23.01533333,-0.3357558,22.679577
182.0,49.49143333,0.8624019,50.353832
183.0,25.950499999999998,0.9118734,26.862373
185.0,51.71496667,4.9266706,56.641636
186.0,68.5099,4.756119,73.26602
188.0,89.98203333,-4.264195,85.717834
189.0,94.53703333,4.641499,99.178535
19.0,41.0,1.6923436,42.692345
190.0,67.40786667,-2.6133382,64.79453
192.0,58.24916667,1.7682763,60.017445
193.0,89.92806667,2.8595202,92.78759
196.0,68.37543333,4.4032564,72.778694
198.0,62.60193333,3.7333658,66.3353
199.0,77.8674,-0.9830118,76.88439
2.0,20.33333333,-4.0815554,16.251778
20.0,38.66666667,-1.0721937,37.594475
200.0,77.89793333,2.8765614,80.7745
201.0,72.27056667,-2.3474777,69.92309
202.0,40.0576,3.0611455,43.118744
203.0,65.65653333,1.9646266,67.62116
204.0,35.14246667,-2.4718068,32.670662
205.0,69.9192,-4.786571,65.13263
206.0,73.0137,1.362523,74.37623
207.0,14.996323330000001,-3.8968232,11.099501
209.0,49.94856667,-0.3977047,49.55086
21.0,38.0,3.1471522,41.147152
210.0,93.62783333,1.1795769,94.8074
212.0,17.5,-4.287709,13.212291
213.0,31.33333333,-3.9702313,27.363102
214.0,29.0,-1.2208331,27.779167
216.0,33.66666667,0.0025201018,33.66919
217.0,35.33333333,-1.8147274,33.518604
218.0,33.0,4.4816213,37.48162
219.0,25.0,3.129322,28.129322
22.0,40.8,4.5812225,45.38122
220.0,29.0,2.7931633,31.793163
221.0,36.66666667,0.43147996,37.09815
222.0,25.0,3.228171,28.22817
223.0,35.33333333,-1.5073466,33.825985
224.0,33.0,-1.8042842,31.195715
225.0,29.0,2.3197398,31.31974
226.0,29.0,-1.8933344,27.106667
227.0,29.0,-0.20459114,28.795408
228.0,29.0,0.7519971,29.751997
229.0,29.0,0.87028265,29.870283
230.0,29.0,2.8115997,31.8116
231.0,33.0,-1.6646789,31.335321
232.0,29.0,-4.901792,24.098207
233.0,85.29773333,-0.5545609,84.74318
234.0,97.69876667,1.6800202,99.37879
235.0,79.97453333,-1.2351209,78.73941
236.0,76.9844,-3.398573,73.58582
237.0,40.58336667,0.593842,41.177208
238.0,43.0109,-4.7762885,38.23461
239.0,19.277,-4.3869004,14.8901005
240.0,31.2479,4.0581613,35.30606
242.0,35.0454,-0.39484936,34.65055
244.0,20.00153333,-0.5745961,19.426937
245.0,56.58306667,1.2675623,57.850628
246.0,101.8133333,-0.62035674,101.19298
247.0,43.6798,1.6324561,45.312256
248.0,45.01346667,-1.2093557,43.80411
249.0,48.7639,2.2702847,51.034187
25.0,8.666666667,-2.5545485,6.1121187
250.0,43.03133333,-3.085891,39.945442
251.0,48.9925,-0.4098871,48.582615
252.0,45.15263333,-3.8389218,41.313713
253.0,49.08816667,-3.8960915,45.192074
254.0,43.05016667,-0.899536,42.15063
255.0,51.10553333,4.2142277,55.319763
256.0,45.1744,-4.648053,40.52635
257.0,51.18613333,2.4773223,53.663456
258.0,47.1046,3.7958107,50.90041
259.0,47.17736667,-0.6701989,46.507168
260.0,43.06043333,2.038548,45.09898
261.0,45.0848,2.3010223,47.385822
264.0,24.85366667,-1.3192667,23.534399
266.0,64.221,-1.3026292,62.918373
267.0,8.192993333,-4.025115,4.167878
269.0,6.753773332999999,0.0552324,6.8090057
270.0,9.37113,-4.6847034,4.6864266
272.0,14.176,2.8587718,17.034771
273.0,30.01244654,-2.7503986,27.262049
274.0,28.00596541,0.44084427,28.44681
276.0,21.64833333,0.2990943,21.947428
277.0,34.84266667,-2.6634233,32.179245
278.0,22.71,4.35981,27.069809
28.0,34.73,0.60553706,35.335537
282.0,39.86833333,-2.8119628,37.05637
283.0,41.61166667,3.8946483,45.506317
285.0,39.27666667,1.9064991,41.183167
286.0,40.87666667,-4.880666,35.996002
287.0,22.31666667,3.266437,25.583105
288.0,33.29755533,-3.7061987,29.591354
289.0,36.09181004,4.4701567,40.561966
290.0,33.74482513,-1.6682103,32.076614
291.0,26.139234540000004,-3.2975895,22.841644
293.0,37.6167,-1.7267716,35.889927
294.0,98.06526666999999,-2.661351,95.403915
295.0,46.61233333,2.8608382,49.473175
296.0,64.971,0.77367705,65.744675
297.0,67.78196768,-3.5095406,64.27243
298.0,67.46661044,0.70068896,68.167305
299.0,85.0,-3.6551352,81.344864
300.0,72.3159,2.7401977,75.0561
302.0,5.68058,-2.0725403,3.6080399
303.0,4.500906667,2.4595935,6.9605
304.0,45.69343333,4.891485,50.584915
31.0,38.59333333,-0.80713207,37.7862
32.0,41.07,-2.531681,38.53832
35.0,31.66666667,4.3937545,36.06042
44.0,30.0,-2.5544655,27.445534
45.0,25.0,3.0703328,28.070333
50.0,33.99056667,-0.1664486,33.82412
51.0,45.02953333,0.019302633,45.048836
52.0,41.01546667000001,2.8576727,43.87314
53.0,34.34373333,-4.3239803,30.019754
54.0,64.8883,3.3611975,68.2495
55.0,74.89263333,-4.5726,70.32003
56.0,62.73723333,2.4200408,65.15727
57.0,88.3896,3.5116677,91.90127
58.0,102.6953333,-2.679873,100.015465
59.0,69.5943,-3.2022913,66.392006
6.0,15.0,-3.6150427,11.384957
60.0,40.03386667,4.57021,44.604076
61.0,55.00183332999999,1.0146916,56.016525
62.0,11.54464,3.1482837,14.692924
63.0,10.02679,0.27249753,10.299287
64.0,12.56496667,-2.1738544,10.391111
66.0,12.60386667,0.2681548,12.872022
70.0,60.07196667000001,-3.4979737,56.573994
71.0,44.0765,2.632273,46.708775
72.0,39.65113333,3.6184967,43.26963
73.0,30.08706667,0.5413702,30.628437
75.0,40.72183333,-0.61789876,40.103935
78.0,57.3672287,1.4824166,58.849648
80.0,85.3180334,-0.4896382,84.82839
81.0,80.53313333,2.0486317,82.581764
82.0,85.4714,-4.088834,81.38256
83.0,66.07813333,1.9015784,67.97971
84.0,95.41926667,-0.49973124,94.91953
86.0,65.0048,-0.79891986,64.20588
87.0,45.00706667,-0.66611844,44.340946
88.0,49.17933333,-4.2775784,44.901756
89.0,96.10283333,1.8541842,97.95702
90.0,47.66676667,3.6746726,51.34144
93.0,70.02256667,3.2226508,73.24522
94.0,69.4105,2.6656318,72.07613
96.0,89.36513333,-0.72387195,88.641266
97.0,84.9421,-2.0806482,82.86145
98.0,72.1281,2.248911,74.37701
99.0,70.09373333,0.6502625,70.743996
